timestamp,hourly average,usage,hour,year,month,week,weekday,usage_scaled
2024-02-04 13:00:00,19909775.0,0.19,13,2024,2,5,6,0.005255771667149069
2024-02-04 14:00:00,19909996.0,0.221,14,2024,2,5,6,0.006113292307578654
2024-02-04 15:00:00,19910173.5,0.1775,15,2024,2,5,6,0.0049099972153629455
2024-02-04 16:00:00,19910358.5,0.185,16,2024,2,5,6,0.0051174618864346195
2024-02-04 17:00:00,19910623.0,0.2645,17,2024,2,5,6,0.007316587399794362
2024-02-04 18:00:00,19910782.5,0.1595,18,2024,2,5,6,0.004412082004790929
2024-02-04 19:00:00,19911021.5,0.239,19,2024,2,5,6,0.006611207518150671
2024-02-04 20:00:00,19911251.5,0.23,20,2024,2,5,6,0.006362249912864663
2024-02-04 21:00:00,19911446.75,0.19525,21,2024,2,5,6,0.00540099693689924
2024-02-04 22:00:00,19911666.33333333,0.2195833333320915,22,2024,2,5,6,0.006074104536341876
2024-02-04 23:00:00,19911885.0,0.2186666666679084,23,2024,2,5,6,0.006048747743279593
2024-02-05 00:00:00,19912093.5,0.2085,0,2024,2,6,0,0.00576751785579253
2024-02-05 01:00:00,19912345.5,0.252,1,2024,2,6,0,0.006970812948008239
2024-02-05 02:00:00,19912523.2,0.1776999999992549,2,2024,2,6,0,0.004915529606570913
2024-02-05 03:00:00,19912733.25,0.210050000000745,3,2024,2,6,0,0.005810393887834619
2024-02-05 04:00:00,19912986.4,0.2531499999985099,4,2024,2,6,0,0.0070026241975313435
2024-02-05 05:00:00,19913201.6,0.2152000000029802,5,2024,2,6,0,0.005952852962032331
2024-02-05 06:00:00,19913409.6,0.208,6,2024,2,6,0,0.005753686877721086
2024-02-05 07:00:00,19921539.6,8.13,7,2024,2,6,0,0.2248917034416944
2024-02-05 08:00:00,19937754.75,16.21514999999851,8,2024,2,6,0,0.4485427681503389
2024-02-05 09:00:00,19956036.8,18.282050000000744,9,2024,2,6,0,0.5057172653021397
2024-02-05 10:00:00,19973475.666666668,17.438866666667163,10,2024,2,6,0,0.4823931649150505
2024-02-05 11:00:00,19991340.25,17.864583333332092,11,2024,2,6,0,0.4941693206776331
2024-02-05 12:00:00,20009213.5,17.87325,12,2024,2,6,0,0.49440905763090576
2024-02-05 13:00:00,20026767.0,17.5535,13,2024,2,6,0,0.48556414715421675
2024-02-05 14:00:00,20043098.2,16.331199999999257,14,2024,2,6,0,0.4517529381607419
2024-02-05 15:00:00,20063045.6,19.94740000000224,15,2024,2,6,0,0.5517841039647426
2024-02-05 16:00:00,20081275.75,18.23014999999851,16,2024,2,6,0,0.504281609778262
2024-02-05 17:00:00,20090890.2,9.614449999999255,17,2024,2,6,0,0.2659544942379866
2024-02-05 18:00:00,20091115.0,0.224800000000745,18,2024,2,6,0,0.006218407740942243
2024-02-05 19:00:00,20091326.8,0.211800000000745,19,2024,2,6,0,0.005858802311084676
2024-02-05 20:00:00,20091563.0,0.2361999999992549,20,2024,2,6,0,0.006533754040929969
2024-02-05 21:00:00,20091761.6,0.1986000000014901,21,2024,2,6,0,0.005493664490019141
2024-02-05 22:00:00,20091981.166666668,0.2195666666664183,22,2024,2,6,0,0.006073643503766975
2024-02-05 23:00:00,20092157.666666668,0.1765,23,2024,2,6,0,0.004882335259220056
2024-02-06 00:00:00,20092404.0,0.2463333333320915,0,2024,2,6,1,0.006814061863164179
2024-02-06 01:00:00,20092642.0,0.238,1,2024,2,6,1,0.006583545562007781
2024-02-06 02:00:00,20092831.0,0.189,2,2024,2,6,1,0.005228109711006179
2024-02-06 03:00:00,20093047.5,0.2165,3,2024,2,6,1,0.00598881350493565
2024-02-06 04:00:00,20093251.4,0.2038999999985098,4,2024,2,6,1,0.005640272857494016
2024-02-06 05:00:00,20093478.0,0.2266000000014901,5,2024,2,6,1,0.006268199262020056
2024-02-06 06:00:00,20093681.25,0.20325,6,2024,2,6,1,0.005622292586042359
2024-02-06 07:00:00,20097556.83333333,3.875583333332092,7,2024,2,6,1,0.10720621619474713
2024-02-06 08:00:00,20112950.4,15.393566666666418,8,2024,2,6,1,0.4258161660159773
2024-02-06 09:00:00,20129698.8,16.748400000002235,9,2024,2,6,1,0.46329350626363797
2024-02-06 10:00:00,20149835.75,20.136949999999256,10,2024,2,6,1,0.5570274277515449
2024-02-06 11:00:00,20166362.75,16.527,11,2024,2,6,1,0.45716914917354035
2024-02-06 12:00:00,20184416.75,18.054,12,2024,2,6,1,0.49940895620373305
2024-02-06 13:00:00,20195908.0,11.49125,13,2024,2,6,1,0.31787045352698284
2024-02-06 14:00:00,20196134.0,0.226,14,2024,2,6,1,0.006251602088293103
2024-02-06 15:00:00,20196344.666666668,0.2106666666679084,15,2024,2,6,1,0.005827452094136474
2024-02-06 16:00:00,20196537.0,0.1923333333320915,16,2024,2,6,1,0.005320316231448127
2024-02-06 17:00:00,20196758.4,0.2213999999985098,17,2024,2,6,1,0.006124357089994588
2024-02-06 18:00:00,20196983.75,0.2253500000014901,18,2024,2,6,1,0.006233621816841444
2024-02-06 19:00:00,20197215.4,0.2316499999985098,19,2024,2,6,1,0.006407892140459209
2024-02-06 20:00:00,20197411.0,0.1956000000014901,20,2024,2,6,1,0.005410678621590471
2024-02-06 21:00:00,20197608.0,0.197,21,2024,2,6,1,0.0054494053601492985
2024-02-06 22:00:00,20197812.0,0.204,22,2024,2,6,1,0.005643039053149526
2024-02-06 23:00:00,,0.0,23,2024,2,6,1,0.00570635899963286
2024-02-07 00:00:00,,0.0,0,2024,2,6,2,0.005769678946116194
2024-02-07 01:00:00,,0.0,1,2024,2,6,2,0.005832998892599528
2024-02-07 02:00:00,,0.0,2,2024,2,6,2,0.005896318839082862
2024-02-07 03:00:00,,0.0,3,2024,2,6,2,0.005959638785566195
2024-02-07 04:00:00,,0.005175713449716568,4,2024,2,6,2,0.006022958732049529
2024-02-07 05:00:00,,0.511971116065979,5,2024,2,6,2,0.006086278678532863
2024-02-07 06:00:00,20199590.5,0.2223125,6,2024,2,6,2,0.006149598625016197
2024-02-07 07:00:00,20205929.6,6.3391000000014905,7,2024,2,6,2,0.1753519061854342
2024-02-07 08:00:00,20222041.0,16.11139999999851,8,2024,2,6,2,0.4456728402005141
2024-02-07 09:00:00,20242071.5,20.0305,9,2024,2,6,2,0.5540828125201549
2024-02-07 10:00:00,20257648.6,15.57710000000149,10,2024,2,6,2,0.4308930570334505
2024-02-07 11:00:00,20276056.2,18.407599999997764,11,2024,2,6,2,0.5091902238957972
2024-02-07 12:00:00,20294272.33333333,18.21613333333284,12,2024,2,6,2,0.5038938813596867
2024-02-07 13:00:00,20311093.2,16.820866666667165,13,2024,2,6,2,0.4652980760187447
2024-02-07 14:00:00,20331589.5,20.496300000000744,14,2024,2,6,2,0.5669677516915336
2024-02-07 15:00:00,20348151.0,16.5615,15,2024,2,6,2,0.45812348666047
2024-02-07 16:00:00,20363885.2,15.734199999999255,16,2024,2,6,2,0.4352387503434367
2024-02-07 17:00:00,20364648.8,0.7636000000014901,17,2024,2,6,2,0.0211226697107519
2024-02-07 18:00:00,20364878.0,0.2291999999992549,18,2024,2,6,2,0.006340120347929739
2024-02-07 19:00:00,20365071.2,0.1931999999992549,19,2024,2,6,2,0.005344289926785706
2024-02-07 20:00:00,20365314.6,0.2434000000022351,20,2024,2,6,2,0.006732920125241214
2024-02-07 21:00:00,20365528.75,0.2141499999985099,21,2024,2,6,2,0.005923807907958639
2024-02-07 22:00:00,20365737.8,0.209050000000745,22,2024,2,6,2,0.005782731931691728
2024-02-07 23:00:00,20365954.4,0.2165999999977648,23,2024,2,6,2,0.005991579700488109
2024-02-08 00:00:00,20366158.6,0.2042000000029802,0,2024,2,6,3,0.005648571444460543
2024-02-08 01:00:00,20366391.6,0.233,1,2024,2,6,3,0.006445235781293333
2024-02-08 02:00:00,20366611.666666668,0.2200666666664183,2,2024,2,6,3,0.00608747448183842
2024-02-08 03:00:00,20366833.5,0.2218333333320915,3,2024,2,6,3,0.0061363439376633765
2024-02-08 04:00:00,20367032.5,0.199,4,2024,2,6,3,0.005504729272435078
2024-02-08 05:00:00,20367231.0,0.1985,5,2024,2,6,3,0.0054908982943636326
2024-02-08 06:00:00,20367488.4,0.2573999999985099,6,2024,2,6,3,0.0071201875111386245
2024-02-08 07:00:00,20367682.0,0.1936000000014901,7,2024,2,6,3,0.005355354709304692
2024-02-08 08:00:00,20367919.0,0.237,8,2024,2,6,3,0.006555883605864891
2024-02-08 09:00:00,20368118.4,0.1993999999985098,9,2024,2,6,3,0.005515794054851012
2024-02-08 10:00:00,20368346.5,0.2281000000014901,10,2024,2,6,3,0.006309692196234391
2024-02-08 11:00:00,20368524.25,0.17775,11,2024,2,6,3,0.004916912704398669
2024-02-08 12:00:00,20368755.83333333,0.2315833333320915,12,2024,2,6,3,0.006406048010056553
2024-02-08 13:00:00,20368969.83333333,0.214,13,2024,2,6,3,0.005919658614578425
2024-02-08 14:00:00,20369189.714285716,0.2198809523805976,14,2024,2,6,3,0.00608233726140894
2024-02-08 15:00:00,20369410.8,0.2210857142880559,15,2024,2,6,3,0.006115663332455675
2024-02-08 16:00:00,20369612.4,0.2015999999977648,16,2024,2,6,3,0.005576650358344761
2024-02-08 17:00:00,20369824.0,0.2116000000014901,17,2024,2,6,3,0.005853269919876708
2024-02-08 18:00:00,20370071.0,0.247,18,2024,2,6,3,0.006832503167293789
2024-02-08 19:00:00,20370281.8,0.210800000000745,19,2024,2,6,3,0.0058311403549417854
2024-02-08 20:00:00,20370486.5,0.2046999999992549,20,2024,2,6,3,0.005662402422428939
2024-02-08 21:00:00,20370693.75,0.20725,21,2024,2,6,3,0.0057329404106139185
2024-02-08 22:00:00,20370925.57142857,0.2318214285708963,22,2024,2,6,3,0.006412634190110202
2024-02-08 23:00:00,20371149.25,0.2236785714291036,23,2024,2,6,3,0.006187386832976116
2024-02-09 00:00:00,20371362.0,0.21275,0,2024,2,6,4,0.005885081169399812
2024-02-09 01:00:00,20371557.0,0.195,1,2024,2,6,4,0.005394081447863518
2024-02-09 02:00:00,20371830.0,0.273,2,2024,2,6,4,0.007551714027008926
2024-02-09 03:00:00,20372017.6,0.1876000000014901,3,2024,2,6,4,0.005189382972447353
2024-02-09 04:00:00,20372240.666666668,0.2230666666664183,4,2024,2,6,4,0.00617046035026709
2024-02-09 05:00:00,20372482.0,0.2413333333320915,5,2024,2,6,4,0.006675752082449729
2024-02-09 06:00:00,20372673.2,0.1911999999992549,6,2024,2,6,4,0.005288966014499926
2024-02-09 07:00:00,20372886.0,0.212800000000745,7,2024,2,6,4,0.005886464267227566
2024-02-09 08:00:00,20373093.2,0.2071999999992549,8,2024,2,6,4,0.005731557312786163
2024-02-09 09:00:00,20373318.33333333,0.2251333333328366,9,2024,2,6,4,0.006227628392955525
2024-02-09 10:00:00,20373536.0,0.2176666666679084,10,2024,2,6,4,0.006021085787136704
2024-02-09 11:00:00,20373739.75,0.20375,11,2024,2,6,4,0.005636123564113804
2024-02-09 12:00:00,20373956.8,0.217050000000745,12,2024,2,6,4,0.0060040275808348476
2024-02-09 13:00:00,20374201.5,0.2446999999992549,13,2024,2,6,4,0.0067688806681445324
2024-02-09 14:00:00,20374390.6,0.1891000000014901,14,2024,2,6,4,0.005230875906661687
2024-02-09 15:00:00,20374615.0,0.2243999999985098,15,2024,2,6,4,0.006207342958423258
2024-02-09 16:00:00,20374808.25,0.19325,16,2024,2,6,4,0.005345673024613461
2024-02-09 17:00:00,20374989.0,0.18075,17,2024,2,6,4,0.004999898572827338
2024-02-09 18:00:00,20375268.0,0.279,18,2024,2,6,4,0.0077176857638662655
2024-02-09 19:00:00,20375469.75,0.20175,19,2024,2,6,4,0.005580799651828025
2024-02-09 20:00:00,20375702.0,0.23225,20,2024,2,6,4,0.006424489314186165
2024-02-09 21:00:00,20375889.666666668,0.1876666666679084,21,2024,2,6,4,0.0051912271028500085
2024-02-09 22:00:00,20376138.6,0.2489333333335817,22,2024,2,6,4,0.006885982949176914
2024-02-09 23:00:00,20376348.0,0.2093999999985099,23,2024,2,6,4,0.005792413616279912
2024-02-10 00:00:00,20376560.8,0.212800000000745,0,2024,2,6,5,0.005886464267227566
2024-02-10 01:00:00,20376773.5,0.2126999999992549,1,2024,2,6,5,0.005883698071572057
2024-02-10 02:00:00,20376994.4,0.2208999999985098,2,2024,2,6,5,0.0061105261119231424
2024-02-10 03:00:00,20377205.4,0.211,3,2024,2,6,5,0.005836672746149755
2024-02-10 04:00:00,20377428.0,0.2226000000014901,4,2024,2,6,5,0.0061575514374484965
2024-02-10 05:00:00,20377689.33333333,0.2613333333320916,5,2024,2,6,5,0.007228991205307528
2024-02-10 06:00:00,20377856.33333333,0.167,6,2024,2,6,5,0.004619546675862603
2024-02-10 07:00:00,20378102.25,0.2459166666679084,7,2024,2,6,5,0.006802536048173341
2024-02-10 08:00:00,20378302.0,0.19975,8,2024,2,6,5,0.005525475739542245
